Depth,Magnitude,INTENSITY,CONTINENT,YEAR.Cat
10,5.7,7,3,1990
10,6.7,4,2,1990
10,6.7,5,2,1990
10,6.7,7,3,1990
10,5.9,4,2,1990
10,5.9,5,2,1990
10,5.9,7,3,1990
33,5.5,4,2,1990
33,5.5,5,2,1990
33,5.5,7,3,1990
11.1,5.6,4,2,1990
11.1,5.6,5,2,1990
11.1,5.6,7,3,1990
12.1,6.3,4,2,1990
12.1,6.3,5,2,1990
12.1,6.3,7,3,1990
33,6.2,4,2,1990
33,6.2,5,2,1990
33,6.2,7,3,1990
12.9,6.1,9,2,2000
22.4,5.6,8,2,2000
9.4,5.6,5,3,2010
35,6,7,2,1970
10,5.9,7,2,1970
105,5.7,8,2,1990
16.1,6.2,8,2,1990
614.6,5.5,7,3,2000
10,5.7,6,3,2000
21.5,5.5,9,3,2000
36,7.4,6,4,2010
10,6.6,6,4,2010
591,5.6,6,2,2010
19,6.2,10,2,2010
85,6.1,8,5,1980
4,6.9,8,5,1980
50,6.1,8,4,1980
27.2,6.7,8,2,2000
25.2,6.1,8,2,2000
197.4,6.4,8,2,2000
52.3,5.5,9,2,2010
54,6,5,2,2010
10,5.5,7,2,2016
79,6.3,6,2,2016
98,5.5,7,3,1980
33,5.7,7,3,1980
98.9,5.9,7,2,1990
50.7,7,6,2,1990
34,6,5,4,2010
12.1,5.5,5,4,2010
10,6.1,5,4,2010
100.2,5.5,8,2,2010
17,6.9,8,2,2010
13.37,5.5,8,6,2016
39,7.4,6,6,2016
10,5.6,7,6,2016
10,6.6,9,6,2016
12.45,5.6,7,6,2016
10,5.7,9,6,2016
4,5.7,7,6,2016
33,5.5,7,3,1990
29.7,5.5,7,3,1990
33,5.6,7,3,1990
39.5,5.9,7,3,1990
10,5.8,7,3,1990
20.6,6.4,8,6,1990
576.7,5.9,8,3,2000
14,6.6,8,3,2000
33,6.1,8,2,2000
196,6.5,7,2,2000
25.1,5.5,7,2,1990
40.6,5.7,8,2,1990
18.6,5.8,8,5,2010
115.6,7.8,6,5,2010
10,5.9,7,5,2010
103,5.6,7,4,2010
23,6.7,5,4,2010
7.8,6.9,8,2,2010
6.1,5.9,6,6,2016
61.1,6.3,3,6,2016
12,7.3,9,5,1980
45,5.5,8,5,1980
5,5.7,8,5,1980
80.4,5.9,6,4,1990
59.4,5.5,4,2,1990
216.8,6.4,4,2,1990
10,5.5,4,2,1990
10,5.7,8,5,2010
35,6,7,5,2010
35,6.2,7,6,1970
35,7.2,8,6,1970
30,6,10,6,1970
25,7.4,9,6,1970
30,5.8,9,6,1970
25,6.1,5,6,1970
10,5.7,8,3,1970
10,5.7,6,6,1970
364.3,6.3,8,3,1970
364.3,6.3,9,6,1970
