"","Depth","Magnitude","INTENSITY","CONTINENT","YEAR.Cat"
"723",10,5.9,7,2,"2016"
"724",10,5.9,9,2,"2016"
"725",8,6,8,2,"2016"
"726",8,6,7,2,"2016"
"727",20,6.5,6,2,"2016"
"728",20,6.5,6,2,"2016"
"729",10,5.7,8,2,"2016"
"730",10,5.7,5,2,"2016"
"731",5,5.5,6,2,"2016"
"732",5,5.5,6,2,"2016"
"733",10,6,6,2,"2016"
"734",10,6,7,2,"2016"
"735",14.5,5.5,7,2,"2016"
"736",14.5,5.5,8,2,"2016"
"737",13.9,5.5,8,3,"1990"
"738",10,5.6,6,3,"2016"
"739",15,6.1,7,2,"2016"
"740",212.9,6.4,5,2,"2016"
"741",8.9,5.5,8,2,"2016"
"742",58,7.2,7,2,"1970"
"743",32.6,5.7,6,2,"1970"
"744",35,5.6,8,2,"1970"
"745",31.6,5.5,9,2,"1970"
"746",20,5.6,8,2,"1970"
"747",40.7,7,8,2,"1970"
"748",110.6,6.6,7,6,"1970"
"749",15,7.3,7,6,"1970"
"750",35,5.8,10,4,"1980"
"751",35,6.5,8,4,"1980"
"752",25,6.8,9,4,"1980"
"753",330.8,7.7,6,2,"1980"
"754",150,5.7,7,2,"1980"
"755",33,6.7,8,2,"1990"
"756",33,5.8,7,5,"1990"
"757",17.8,6,7,5,"1990"
"758",18.8,6.3,7,5,"1990"
"759",662.8,5.9,6,2,"2010"
"760",140,6.3,8,2,"2010"
"761",16,5.7,7,2,"2016"
"762",79,5.9,9,1,"1980"
"763",33,5.8,9,1,"1980"
"764",12.5,6.8,8,2,"2000"
"765",10,6.7,6,4,"2000"
"766",20,6.5,10,2,"2016"
"767",25,7.2,6,6,"1970"
"768",30,6,4,6,"1970"
"769",30,7.6,9,6,"1970"
"770",30,5.8,8,6,"1970"
"771",30,6.9,8,6,"1970"
"772",25,6.2,7,3,"1970"
"773",25,6.2,9,2,"1970"
"774",35,6.2,7,3,"1970"
"775",35,6.2,9,2,"1970"
"776",30,5.8,7,3,"1970"
"777",30,5.8,9,2,"1970"
"778",30,5.7,7,3,"1970"
"779",30,5.7,9,2,"1970"
"780",25,6.2,7,3,"1970"
"781",25,6.2,9,2,"1970"
"782",35,5.6,7,3,"1970"
"783",35,5.6,9,2,"1970"
"784",25,7.5,7,3,"1970"
"785",25,7.5,9,2,"1970"
"786",13.2,6.3,7,6,"1970"
"787",45,6.9,6,6,"1970"
"788",20,5.7,8,6,"1970"
"789",10,6.2,4,2,"1990"
"790",33,6.1,5,2,"1990"
"791",10,5.5,11,2,"1990"
"792",32.2,5.8,9,2,"1990"
"793",131.3,5.5,7,5,"1990"
"794",25.9,5.5,8,2,"2000"
"795",17.7,5.5,6,2,"2000"
"796",59.3,5.5,8,2,"2000"
"797",15.5,6.4,7,2,"2000"
"798",100.2,6,6,2,"2010"
"799",10,5.7,9,2,"2010"
"800",10,6,6,2,"2010"
"801",10,5.5,7,2,"2010"
"802",10,6,8,2,"2010"
"803",7.4,5.7,8,2,"2010"
"804",13,6,9,5,"2010"
"805",496.8,5.7,7,2,"2016"
"806",44,5.8,9,2,"2016"
"807",10,5.6,7,2,"2016"
"808",12,6.2,10,2,"2016"
"809",11,6.4,8,2,"2016"
"810",16,5.5,7,3,"1980"
"811",10,5.6,3,1,"2000"
"812",10.8,6.4,10,1,"2000"
"813",96,6.6,8,2,"2010"
"814",25,6.8,8,2,"2010"
"815",33,7.4,5,6,"1980"
"816",15,5.5,5,6,"1980"
"817",24.7,7,8,6,"1990"
"818",17.9,5.5,8,6,"1990"
"819",21.5,5.8,7,1,"2000"
"820",37,7,8,4,"2010"
"821",37,7,9,4,"2010"
"822",201.2,5.5,8,4,"2010"
"823",201.2,5.5,6,4,"2010"
"824",20,6.1,8,4,"2010"
"825",20,6.1,6,4,"2010"
"826",63,6,5,3,"2016"
"827",40,6.6,9,3,"2016"
"828",96.63,5.5,9,3,"2016"
"829",4.41,5.5,5,3,"2016"
"830",33,5.9,8,5,"1980"
"831",16.1,5.5,6,4,"1990"
"832",33,5.6,8,2,"2000"
"833",33,7.7,8,5,"2000"
"834",33,5.5,8,5,"2000"
"835",33,5.6,8,5,"2000"
"836",10,5.5,9,2,"2000"
"837",10,7.2,9,2,"2000"
"838",10,5.8,6,2,"2010"
"839",168.7,5.5,7,2,"2010"
"840",20,5.9,7,2,"1970"
"841",10,5.8,7,4,"1990"
"842",6.4,6,9,4,"1990"
"843",35,5.5,8,4,"2010"
"844",10,5.7,7,4,"2010"
"845",13,7,8,4,"2010"
"846",10,6,8,4,"2010"
"847",33,5.5,9,5,"1980"
"848",33,5.7,9,5,"1980"
"849",24,7.7,9,5,"1980"
"850",20,5.5,6,2,"1990"
"851",10,6.3,5,2,"1990"
"852",20.6,5.7,8,2,"2000"
"853",20.8,5.6,7,2,"2000"
"854",20.8,6.1,6,2,"2000"
"855",27.7,7.8,9,2,"2000"
"856",224.6,6.5,7,2,"2010"
"857",213.5,6.3,8,2,"2010"
"858",10,5.5,8,2,"2010"
"859",10,5.5,8,2,"2010"
"860",10,5.6,6,2,"2010"
"861",40,7.1,6,6,"1980"
"862",40,7.1,6,2,"1980"
"863",33,5.7,6,6,"1980"
"864",33,5.7,9,2,"1980"
"865",33,5.6,6,6,"1980"
"866",33,5.6,5,2,"1980"
"867",33,5.8,6,6,"1980"
"868",33,5.8,5,2,"1980"
"869",48,5.6,6,6,"1980"
"870",48,5.6,7,2,"1980"
"871",573.4,6.4,4,2,"1990"
"872",33,6.1,4,2,"1990"
"873",100,5.8,7,2,"2000"
"874",10,5.6,3,2,"2000"
"875",10,5.7,3,2,"2000"
"876",21.8,5.6,9,2,"2016"
"877",30,7.3,8,6,"1970"
"878",99.9,5.6,6,2,"2016"
"879",10,5.7,7,2,"2016"
"880",10,6.9,8,2,"2016"
"881",12.34,5.6,9,2,"2016"
"882",30,7.5,8,2,"1970"
"883",16.9,6.7,6,2,"1990"
"884",33,6,8,2,"1990"
"885",35.9,5.8,5,2,"1990"
"886",33,5.5,6,6,"2000"
"887",10,5.6,6,6,"2000"
"888",9.6,6.4,8,6,"2000"
"889",11.1,5.6,7,2,"2010"
"890",50,6.7,7,2,"1970"
"891",50,5.6,4,2,"1970"
"892",15,6.1,6,2,"1980"
"893",104.2,7,6,5,"1990"
"894",10,5.6,8,3,"2000"
"895",33,5.8,8,3,"2000"
"896",33,5.5,8,3,"2000"
"897",10,5.9,7,2,"2010"
"898",14,5.8,6,2,"2016"
"899",10,5.8,8,6,"2016"
"900",20,6.1,8,6,"2016"
"901",22.56,7.6,8,6,"2016"
"902",31.69,5.8,6,6,"2016"
"903",22.5,5.7,6,2,"1980"
"904",23.5,5.6,6,2,"1980"
"905",22.5,6.2,6,2,"1980"
"906",17.2,5.5,6,2,"2010"
"907",10,6.1,9,2,"2010"
"908",10,5.8,9,2,"2010"
"909",19,7.9,9,2,"2010"
"910",21.7,5.6,9,2,"2010"
"911",10,5.7,9,2,"2010"
"912",10,5.7,9,2,"2010"
"913",10,5.5,9,2,"2010"
"914",10,5.7,9,2,"2016"
"915",15,6.3,6,2,"2016"
"916",13.01,5.5,8,2,"2016"
"917",15,7.3,6,2,"2016"
"918",35,6.8,9,2,"2016"
"919",32.1,7,2,2,"1970"
"920",27.5,6.3,8,2,"1970"
"921",35,5.7,6,2,"1970"
"922",34,6.1,8,5,"1980"
"923",13,5.5,8,5,"1980"
"924",45,5.7,8,2,"1980"
"925",33,5.7,8,2,"1980"
"926",44,7.7,8,2,"1980"
"927",82.1,5.6,5,2,"1990"
"928",5.8,5.8,10,2,"1990"
"929",247.1,5.5,7,2,"1990"
"930",35,7.5,6,2,"2010"
"931",39.3,5.7,6,2,"1970"
"932",39.3,5.7,6,2,"1970"
"933",25,5.9,6,4,"1990"
"934",37,6.6,6,4,"1990"
"935",37,6.4,6,4,"1990"
"936",10,5.5,6,4,"1990"
"937",87.5,5.5,8,2,"1990"
"938",39.7,5.9,7,2,"1990"
"939",10,5.7,6,2,"1990"
"940",10.7,5.6,8,3,"2000"
"941",16.7,7.7,8,2,"2000"
"942",33,6.3,8,2,"2000"
"943",33,5.6,8,2,"2000"
"944",28.5,6,8,2,"2000"
"945",206.7,7.1,5,5,"2010"
"946",35,5.5,7,5,"2010"
"947",112.85,6.1,5,6,"2016"
"948",16.37,7.2,8,6,"2016"
"949",5,7.9,9,2,"1980"
"950",33,5.6,9,2,"1980"
"951",33,5.5,7,2,"1980"
"952",33,6.2,7,2,"1990"
"953",35,5.6,6,2,"2010"
"954",35,5.6,7,2,"2010"
"955",35,5.8,8,2,"2010"
"956",35,5.8,9,2,"2010"
"957",35,7.9,7,2,"2010"
"958",35,7.9,8,2,"2010"
"959",35,5.9,2,2,"2010"
"960",35,5.9,7,2,"2010"
"961",35,5.5,6,2,"2010"
"962",35,5.5,3,2,"2010"
"963",34,8.4,9,2,"2010"
"964",34,8.4,7,2,"2010"
"965",14,6.4,9,5,"2010"
"966",10,5.8,8,2,"2016"
"967",16,5.8,9,2,"1990"
"968",25.3,6.9,10,6,"2000"
"969",43.5,5.5,6,6,"2000"
"970",33,6.5,4,6,"2000"
"971",102.1,5.5,7,6,"2000"
"972",33,6,7,6,"2000"
"973",35,6.5,8,2,"1970"
"974",45,5.7,8,2,"1970"
"975",36,5.5,6,2,"2000"
"976",19.6,6,7,2,"2000"
"977",34,7,9,2,"2000"
"978",10,6,7,2,"2010"
"979",12,6.7,7,2,"2016"
"980",27,5.6,5,2,"2016"
"981",2.09,6.2,5,6,"2016"
"982",9.91,5.7,6,6,"2016"
"983",13.99,6.1,8,6,"2016"
"984",10,5.7,7,6,"2016"
"985",10,5.5,7,6,"2016"
"986",108.78,5.7,8,6,"2016"
"987",10.06,5.8,6,6,"2016"
"988",14.59,5.7,6,6,"2016"
"989",15.22,7.8,11,6,"2016"
"990",10,6.5,7,6,"2016"
"991",33,6.4,7,3,"1980"
"992",5.6,5.6,8,4,"2010"
"993",60,7.7,8,4,"2010"
"994",10,8.1,9,2,"2010"
"995",10,5.5,6,2,"2010"
"996",10,6,6,2,"2010"
"997",10,5.8,6,2,"2010"
"998",20,6.4,9,4,"2016"
"999",5,6.3,8,2,"1990"
"1000",33,5.8,8,2,"1990"
"1001",10,5.7,4,2,"1990"
"1002",10,5.7,5,2,"1990"
"1003",10,5.7,7,3,"1990"
"1004",10,6.7,4,2,"1990"
"1005",10,6.7,5,2,"1990"
"1006",10,6.7,7,3,"1990"
"1007",10,5.9,4,2,"1990"
"1008",10,5.9,5,2,"1990"
"1009",10,5.9,7,3,"1990"
"1010",33,5.5,4,2,"1990"
"1011",33,5.5,5,2,"1990"
"1012",33,5.5,7,3,"1990"
"1013",11.1,5.6,4,2,"1990"
"1014",11.1,5.6,5,2,"1990"
"1015",11.1,5.6,7,3,"1990"
"1016",12.1,6.3,4,2,"1990"
"1017",12.1,6.3,5,2,"1990"
"1018",12.1,6.3,7,3,"1990"
"1019",33,6.2,4,2,"1990"
"1020",33,6.2,5,2,"1990"
"1021",33,6.2,7,3,"1990"
"1022",12.9,6.1,9,2,"2000"
"1023",22.4,5.6,8,2,"2000"
"1024",9.4,5.6,5,3,"2010"
"1025",35,6,7,2,"1970"
"1026",10,5.9,7,2,"1970"
"1027",105,5.7,8,2,"1990"
"1028",16.1,6.2,8,2,"1990"
"1029",614.6,5.5,7,3,"2000"
"1030",10,5.7,6,3,"2000"
"1031",21.5,5.5,9,3,"2000"
"1032",36,7.4,6,4,"2010"
"1033",10,6.6,6,4,"2010"
"1034",591,5.6,6,2,"2010"
"1035",19,6.2,10,2,"2010"
"1036",85,6.1,8,5,"1980"
"1037",4,6.9,8,5,"1980"
"1038",50,6.1,8,4,"1980"
"1039",27.2,6.7,8,2,"2000"
"1040",25.2,6.1,8,2,"2000"
"1041",197.4,6.4,8,2,"2000"
"1042",52.3,5.5,9,2,"2010"
"1043",54,6,5,2,"2010"
"1044",10,5.5,7,2,"2016"
"1045",79,6.3,6,2,"2016"
"1046",98,5.5,7,3,"1980"
"1047",33,5.7,7,3,"1980"
"1048",98.9,5.9,7,2,"1990"
"1049",50.7,7,6,2,"1990"
"1050",34,6,5,4,"2010"
"1051",12.1,5.5,5,4,"2010"
"1052",10,6.1,5,4,"2010"
"1053",100.2,5.5,8,2,"2010"
"1054",17,6.9,8,2,"2010"
"1055",13.37,5.5,8,6,"2016"
"1056",39,7.4,6,6,"2016"
"1057",10,5.6,7,6,"2016"
"1058",10,6.6,9,6,"2016"
"1059",12.45,5.6,7,6,"2016"
"1060",10,5.7,9,6,"2016"
"1061",4,5.7,7,6,"2016"
"1062",33,5.5,7,3,"1990"
"1063",29.7,5.5,7,3,"1990"
"1064",33,5.6,7,3,"1990"
"1065",39.5,5.9,7,3,"1990"
"1066",10,5.8,7,3,"1990"
"1067",20.6,6.4,8,6,"1990"
"1068",576.7,5.9,8,3,"2000"
"1069",14,6.6,8,3,"2000"
"1070",33,6.1,8,2,"2000"
"1071",196,6.5,7,2,"2000"
"1072",25.1,5.5,7,2,"1990"
"1073",40.6,5.7,8,2,"1990"
"1074",18.6,5.8,8,5,"2010"
"1075",115.6,7.8,6,5,"2010"
"1076",10,5.9,7,5,"2010"
"1077",103,5.6,7,4,"2010"
"1078",23,6.7,5,4,"2010"
"1079",7.8,6.9,8,2,"2010"
"1080",6.1,5.9,6,6,"2016"
"1081",61.1,6.3,3,6,"2016"
"1082",12,7.3,9,5,"1980"
"1083",45,5.5,8,5,"1980"
"1084",5,5.7,8,5,"1980"
"1085",80.4,5.9,6,4,"1990"
"1086",59.4,5.5,4,2,"1990"
"1087",216.8,6.4,4,2,"1990"
"1088",10,5.5,4,2,"1990"
"1089",10,5.7,8,5,"2010"
"1090",35,6,7,5,"2010"
"1091",35,6.2,7,6,"1970"
"1092",35,7.2,8,6,"1970"
"1093",30,6,10,6,"1970"
"1094",25,7.4,9,6,"1970"
"1095",30,5.8,9,6,"1970"
"1096",25,6.1,5,6,"1970"
"1097",10,5.7,8,3,"1970"
"1098",10,5.7,6,6,"1970"
"1099",364.3,6.3,8,3,"1970"
"1100",364.3,6.3,9,6,"1970"
