"","Depth","Magnitude","INTENSITY","CONTINENT","YEAR.Cat"
"172",76.3,5.8,8,4,"1990"
"173",33,5.6,8,2,"2000"
"174",33,6.4,8,2,"2000"
"175",430.8,6.1,8,2,"2000"
"176",10,6.7,9,2,"2010"
"177",87.3,5.6,7,4,"2010"
"178",10,5.9,9,4,"2010"
"179",10,5.6,8,4,"2010"
"180",547.4,5.6,10,5,"2010"
"181",10,5.5,8,2,"2010"
"182",14,5.8,7,2,"2010"
"183",9,6.6,8,2,"2010"
"184",80.8,5.5,8,2,"2010"
"185",10,5.6,7,2,"2016"
"186",9,7.8,6,6,"1980"
"187",33,6.1,8,6,"1980"
"188",33,5.7,5,6,"1980"
"189",5,5.7,7,2,"1990"
"190",35,5.5,6,2,"2010"
"191",23,6.1,8,2,"2010"
"192",16,5.8,8,2,"2010"
"193",51,6,7,2,"1980"
"194",11,5.5,8,2,"1980"
"195",22,5.7,9,2,"2000"
"196",33,6.1,6,2,"2000"
"197",211,6.2,7,2,"2000"
"198",32.8,6.1,6,2,"2010"
"199",10,5.5,4,2,"2010"
"200",10,6.4,8,2,"2010"
"201",49.9,5.7,8,2,"2010"
"202",10,5.5,9,2,"2010"
"203",10,6.7,9,2,"2010"
"204",10,7.5,8,2,"2010"
"205",10,5.9,8,2,"2010"
"206",10,5.5,8,2,"2010"
"207",6,5.8,8,2,"2016"
"208",20,6.5,8,2,"2016"
"209",28.4,5.5,5,2,"2016"
"210",13.7,6.8,6,2,"2016"
"211",10,5.6,7,5,"2016"
"212",83.02,5.5,7,5,"2016"
"213",126,5.8,7,5,"2016"
"214",12,6.9,7,5,"2016"
"215",10,6.9,7,5,"2016"
"216",13,5.6,7,5,"2016"
"217",113,6.1,7,4,"1980"
"218",25,5.7,7,4,"1980"
"219",33,5.7,7,4,"1980"
"220",41,5.5,7,4,"1980"
"221",424,5.8,7,4,"1980"
"222",40,6.8,9,2,"1980"
"223",33,5.9,7,2,"1990"
"224",33,5.9,6,4,"1990"
"225",45.7,7.1,7,2,"1990"
"226",45.7,7.1,6,4,"1990"
"227",33,5.6,4,5,"1990"
"228",33,5.5,4,5,"1990"
"229",28.6,7.4,6,2,"1990"
"230",28.6,7.4,8,4,"1990"
"231",37.3,5.6,6,2,"1990"
"232",37.3,5.6,6,4,"1990"
"233",30.2,6,6,2,"1990"
"234",30.2,6,6,4,"1990"
"235",38.7,5.5,6,2,"1990"
"236",38.7,5.5,4,4,"1990"
"237",50.3,5.5,6,2,"1990"
"238",50.3,5.5,8,4,"1990"
"239",33,5.5,6,2,"1990"
"240",33,5.5,8,4,"1990"
"241",139.5,6.1,6,2,"1990"
"242",139.5,6.1,8,4,"1990"
"243",33,5.7,6,5,"2000"
"244",19.9,6.7,8,5,"2000"
"245",52.2,5.5,6,4,"2000"
"246",33,7.2,6,4,"2000"
"247",33,6.3,6,2,"2000"
"248",300,5.5,6,2,"2010"
"249",10,5.8,7,2,"2010"
